step,track,model,dataset,Memory in Mb,Time in s,using_fallback,MAE,RMSE,R2,error
11.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.033845,False,0.9348462692973627,1.1185032524559297,-0.48934467351725,
22.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.072341,False,0.9015558457184384,1.101030801672584,-0.2549543482821872,
33.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.118326,False,1.3670314743451322,1.72483673425628,-1.0377680549003498,
44.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.169849,False,1.7638758403663923,2.37519345124957,-3.397645332275708,
55.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.224744,False,2.804308148960651,7.4060534889802465,-9.521775940349428,
66.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.283309,False,3.068804494762185,7.0237523819756955,-3.090919274504052,
77.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.34637799999999996,False,3.5229508334315134,6.987329655198393,-1.7224315773030243,
88.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.41491599999999995,False,3.6638883320562634,6.7828353367029175,-1.3326091331091092,
99.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.526272,False,3.876171144677543,6.763165175785097,-0.9444186199090028,
110.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.6422049999999999,False,4.116586631204915,6.771899945999561,-0.36366368254716486,
121.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.7632779999999999,False,4.497977734378126,7.053499096942132,-0.14088122465338349,
132.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,0.9048989999999999,False,4.739276894440412,7.3057111285607395,-0.0014861176228335715,
143.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.0522619999999998,False,4.632221589427452,7.107697336387034,0.23156180879614452,
154.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.2034309999999997,False,4.582678433228478,6.979198266703547,0.36987639924432403,
165.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.3743509999999997,False,4.849237023328577,7.305990047021282,0.4447867535784773,
176.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.5493699999999997,False,5.082561949855659,7.515165997153645,0.526220360138227,
187.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.7284269999999997,False,5.284051513722291,7.676605630275241,0.5951516818342849,
198.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,1.9498209999999998,False,5.765678232965132,8.478481382677268,0.6071459604523342,
209.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,2.1740939999999997,False,5.87922005155723,8.66580201645111,0.6616555786883185,
220.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,2.4014719999999996,False,6.4191660493693545,9.539200315041164,0.6410570293554912,
231.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,2.6386819999999997,False,6.678343090522896,9.80146651102048,0.6758301720163272,
242.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,2.8802619999999997,False,7.064971078304524,10.41601348631592,0.7054536494531212,
253.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,3.1242589999999995,False,7.289457924153113,10.59927062705967,0.7350757843765878,
264.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,3.4071199999999995,False,8.095640180185503,12.47490367736422,0.6646906077232777,
275.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,3.6926339999999995,False,8.612114347501953,13.508625714126136,0.6540321299747098,
286.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,3.9816659999999997,False,8.999775369869008,14.102417048190096,0.6734316905081856,
297.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,4.282626,False,9.307292924897236,14.459227101051392,0.7022542942874495,
308.0,Regression,CapyMoa Adaptive Random Forest Regressor,ChickWeights,0.006918907165527344,4.5858159999999994,False,9.72254391579223,15.026970088924756,0.7135846071865014,
